family,genus,in_sa,order,species
Struthionidae,Struthio,False,STRUTHIONIFORMES,camelus
Struthionidae,Struthio,False,STRUTHIONIFORMES,molybdophanes
Rheidae,Rhea,True,RHEIFORMES,americana
Rheidae,Rhea,True,RHEIFORMES,pennata
Apterygidae,Apteryx,False,APTERYGIFORMES,australis
Apterygidae,Apteryx,False,APTERYGIFORMES,mantelli
Apterygidae,Apteryx,False,APTERYGIFORMES,rowi
Apterygidae,Apteryx,False,APTERYGIFORMES,owenii
Apterygidae,Apteryx,False,APTERYGIFORMES,haastii
Casuariidae,Casuarius,False,CASUARIIFORMES,casuarius
Casuariidae,Casuarius,False,CASUARIIFORMES,bennetti
Casuariidae,Casuarius,False,CASUARIIFORMES,unappendiculatus
Casuariidae,Dromaius,False,CASUARIIFORMES,novaehollandiae
Tinamidae,Tinamus,True,TINAMIFORMES,tao
Tinamidae,Tinamus,True,TINAMIFORMES,solitarius
Tinamidae,Tinamus,True,TINAMIFORMES,osgoodi
Tinamidae,Tinamus,True,TINAMIFORMES,major
Tinamidae,Tinamus,True,TINAMIFORMES,guttatus
Tinamidae,Nothocercus,True,TINAMIFORMES,bonapartei
Tinamidae,Nothocercus,True,TINAMIFORMES,julius
Tinamidae,Nothocercus,True,TINAMIFORMES,nigrocapillus
Tinamidae,Crypturellus,True,TINAMIFORMES,berlepschi
Tinamidae,Crypturellus,True,TINAMIFORMES,cinereus
Tinamidae,Crypturellus,True,TINAMIFORMES,soui
Tinamidae,Crypturellus,True,TINAMIFORMES,ptaritepui
Tinamidae,Crypturellus,True,TINAMIFORMES,obsoletus
Tinamidae,Crypturellus,True,TINAMIFORMES,undulatus
Tinamidae,Crypturellus,True,TINAMIFORMES,transfasciatus
Tinamidae,Crypturellus,True,TINAMIFORMES,strigulosus
Tinamidae,Crypturellus,True,TINAMIFORMES,duidae
Tinamidae,Crypturellus,True,TINAMIFORMES,erythropus
Tinamidae,Crypturellus,True,TINAMIFORMES,noctivagus
Tinamidae,Crypturellus,True,TINAMIFORMES,atrocapillus
Tinamidae,Crypturellus,False,TINAMIFORMES,cinnamomeus
Tinamidae,Crypturellus,False,TINAMIFORMES,boucardi
Tinamidae,Crypturellus,True,TINAMIFORMES,kerriae
Tinamidae,Crypturellus,True,TINAMIFORMES,variegatus
Tinamidae,Crypturellus,True,TINAMIFORMES,brevirostris
Tinamidae,Crypturellus,True,TINAMIFORMES,bartletti
Tinamidae,Crypturellus,True,TINAMIFORMES,parvirostris
Tinamidae,Crypturellus,True,TINAMIFORMES,casiquiare
Tinamidae,Crypturellus,True,TINAMIFORMES,tataupa
Tinamidae,Rhynchotus,True,TINAMIFORMES,rufescens
Tinamidae,Rhynchotus,True,TINAMIFORMES,maculicollis
Tinamidae,Nothoprocta,True,TINAMIFORMES,taczanowskii
